328,48,OH,250/500,1000,1406.91,MALE,MD,craft-repair,sleeping,husband,Single Vehicle Collision,Major Damage,Police,5,1,1,2,71610,Saab,2004,Y
228,42,IN,250/500,2000,1197.22,MALE,MD,machine-op-inspct,reading,other-relative,Vehicle Theft,Minor Damage,Police,8,1,0,0,5070,Mercedes,2007,Y
134,29,OH,100/300,2000,1413.14,FEMALE,PhD,sales,board-games,own-child,Multi-vehicle Collision,Minor Damage,Police,7,3,2,3,34650,Dodge,2007,N
256,41,IL,250/500,2000,1415.74,FEMALE,PhD,armed-forces,board-games,unmarried,Single Vehicle Collision,Major Damage,Police,5,1,1,2,63400,Chevrolet,2014,Y
228,44,IL,500/1000,1000,1583.91,MALE,Associate,sales,board-games,unmarried,Vehicle Theft,Minor Damage,None,20,1,0,1,6500,Accura,2009,N
256,39,OH,250/500,1000,1351.1,FEMALE,PhD,tech-support,bungie-jumping,unmarried,Multi-vehicle Collision,Major Damage,Fire,19,3,0,2,64100,Saab,2003,Y
137,34,IN,250/500,1000,1333.35,MALE,PhD,prof-specialty,board-games,husband,Multi-vehicle Collision,Minor Damage,Police,0,3,0,0,78650,Nissan,2012,N
165,37,IL,100/300,1000,1137.03,MALE,Associate,tech-support,base-jumping,unmarried,Multi-vehicle Collision,Total Loss,Police,23,3,2,2,51590,Audi,2015,N
27,33,IL,100/300,500,1442.99,FEMALE,PhD,other-service,golf,own-child,Single Vehicle Collision,Total Loss,Police,21,1,1,1,27700,Toyota,2012,N
212,42,IL,100/300,500,1315.68,MALE,PhD,priv-house-serv,camping,wife,Single Vehicle Collision,Total Loss,Other,14,1,2,1,42300,Saab,1996,N
235,42,OH,100/300,500,1253.12,FEMALE,Masters,exec-managerial,dancing,other-relative,Single Vehicle Collision,Total Loss,Police,22,1,2,2,87010,Ford,2002,N
447,61,OH,100/300,2000,1137.16,FEMALE,High School,exec-managerial,skydiving,other-relative,Multi-vehicle Collision,Major Damage,Fire,21,3,1,2,114920,Audi,2006,N
60,23,OH,500/1000,500,1215.36,MALE,MD,protective-serv,reading,wife,Single Vehicle Collision,Total Loss,Ambulance,9,1,1,0,56520,Saab,2000,N
